Complexity metrics,Fri, 12 Feb 2021 18:13:28 IST
Method,CogC,ev(G),iv(G),v(G)
"LaneView.makeFrame(Party)",9,1,7,7
"LaneView.receiveLaneEvent(LaneEvent)",36,1,17,19
"LaneView.show()",0,1,1,1
"NewPatronView.NewPatronView(AddPartyView)",0,1,1,1
"NewPatronView.actionPerformed(ActionEvent)",2,1,3,3
"NewPatronView.done()",0,1,1,1
"NewPatronView.getEmail()",0,1,1,1
"NewPatronView.getFull()",0,1,1,1
"NewPatronView.getNick()",0,1,1,1
"Party.Party(List)",0,1,1,1
"Party.getMembers()",0,1,1,1
"PinSetterView.PinSetterView(int)",0,1,1,1
"PinSetterView.addPins()",0,1,1,1
"PinSetterView.drawPins()",0,1,1,1
"PinSetterView.hide()",0,1,1,1
"PinSetterView.main(String[])",0,1,1,1
"PinSetterView.receivePinsetterEvent(PinsetterEvent)",10,1,7,7
"PinSetterView.setPins()",0,1,1,1
"PinSetterView.show()",0,1,1,1
"Pinsetter.Pinsetter()",0,1,1,1
"Pinsetter.ballThrown()",13,1,3,7
"Pinsetter.reset()",1,1,1,2
"Pinsetter.resetPins()",1,1,1,2
"Pinsetter.sendEvent(int)",1,1,2,2
"Pinsetter.subscribe(PinsetterObserver)",0,1,1,1
"PinsetterEvent.PinsetterEvent(boolean[],boolean,int,int)",1,1,1,2
"PinsetterEvent.getThrowNumber()",0,1,1,1
"PinsetterEvent.isFoulCommited()",0,1,1,1
"PinsetterEvent.pinKnockedDown(int)",0,1,1,1
"PinsetterEvent.pinsDownOnThisThrow()",0,1,1,1
"PinsetterEvent.totalPinsDown()",3,1,2,3
"PrintableText.PrintableText(String)",0,1,1,1
"PrintableText.print(Graphics,PageFormat,int)",4,2,3,4
"Queue.Queue()",0,1,1,1
"Queue.add(Object)",0,1,1,1
"Queue.asVector()",0,1,1,1
"Queue.hasMoreElements()",0,1,1,1
"Queue.next()",0,1,1,1
"Score.Score(String,String,String)",0,1,1,1
"Score.getDate()",0,1,1,1
"Score.getNickName()",0,1,1,1
"Score.getScore()",0,1,1,1
"Score.toString()",0,1,1,1
"ScoreHistoryFile.ScoreHistoryFile()",0,1,1,1
"ScoreHistoryFile.addScore(String,String,String)",0,1,1,1
"ScoreHistoryFile.getScores(String)",3,1,3,3
"ScoreReport.ScoreReport(Bowler,int[],int)",3,1,3,4
"ScoreReport.sendEmail(String)",1,1,2,2
"ScoreReport.sendPrintout()",3,1,3,3
"ScoreReport.sendln(BufferedReader,BufferedWriter,String)",1,1,2,2
"ScoreReport.sendln(BufferedWriter,String)",1,1,2,2
"drive.main(String[])",0,1,1,1
"null.windowClosing(WindowEvent)",0,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
"AddPartyView",1.82,5,20
"Bowler",1.50,4,9
"BowlerFile",1.75,3,7
"ControlDesk",1.64,3,18
"ControlDeskEvent",1.00,1,2
"ControlDeskView",1.57,4,11
"EndGamePrompt",1.75,3,7
"EndGameReport",1.83,3,11
"Lane",3.18,14,54
"LaneEvent",1.00,1,11
"LaneStatusView",3.20,10,16
"LaneView",3.57,12,25
"NewPatronView",1.33,3,8
"Party",1.00,1,2
"PinSetterView",1.75,7,14
"Pinsetter",2.17,6,13
"PinsetterEvent",1.50,3,9
"PrintableText",2.50,4,5
"Queue",1.00,1,5
"Score",1.00,1,5
"ScoreHistoryFile",1.67,3,5
"ScoreReport",1.60,3,8
"drive",1.00,1,1

Package,v(G)avg,v(G)tot
"",2.22,306

Module,v(G)avg,v(G)tot
"code",2.22,306

Project,v(G)avg,v(G)tot
"project",2.22,306

