Complexity metrics,Wed, 10 Feb 2021 13:36:20 IST
Method,CogC,ev(G),iv(G),v(G)
"Lane.isGameFinished()",0,1,1,1
"Lane.isPartyAssigned()",0,1,1,1
"Lane.lanePublish()",0,1,1,1
"Lane.markScore(Bowler,int,int,int)",0,1,1,1
"Lane.pauseGame()",0,1,1,1
"Lane.publish(LaneEvent)",3,1,3,3
"Lane.receivePinsetterEvent(PinsetterEvent)",25,1,9,12
"Lane.resetBowlerIterator()",0,1,1,1
"Lane.resetScores()",3,1,2,3
"Lane.run()",55,1,14,19
"Lane.subscribe(LaneObserver)",0,1,1,1
"Lane.unPauseGame()",0,1,1,1
"Lane.unsubscribe(LaneObserver)",0,1,1,1
"LaneEvent.LaneEvent(Party,int,Bowler,int[][],HashMap,int,int[],int,boolean)",0,1,1,1
"LaneEvent.getBall()",0,1,1,1
"LaneEvent.getBowler()",0,1,1,1
"LaneEvent.getCumulScore()",0,1,1,1
"LaneEvent.getCurScores()",0,1,1,1
"LaneEvent.getFrame()",0,1,1,1
"LaneEvent.getFrameNum()",0,1,1,1
"LaneEvent.getIndex()",0,1,1,1
"LaneEvent.getParty()",0,1,1,1
"LaneEvent.getScore()",0,1,1,1
"LaneEvent.isMechanicalProblem()",0,1,1,1
"LaneStatusView.LaneStatusView(Lane,int)",0,1,1,1
"LaneStatusView.actionPerformed(ActionEvent)",17,1,11,11
"LaneStatusView.receiveLaneEvent(LaneEvent)",3,1,3,3
"LaneStatusView.receivePinsetterEvent(PinsetterEvent)",0,1,1,1
"LaneStatusView.showLane()",0,1,1,1
"LaneView.LaneView(Lane,int)",0,1,1,1
"LaneView.actionPerformed(ActionEvent)",1,1,2,2
"LaneView.hide()",0,1,1,1
"LaneView.makeFrame(Party)",9,1,7,7
"LaneView.receiveLaneEvent(LaneEvent)",36,1,17,19
"LaneView.show()",0,1,1,1
"NewPatronView.NewPatronView(AddPartyView)",0,1,1,1
"NewPatronView.actionPerformed(ActionEvent)",2,1,3,3
"NewPatronView.done()",0,1,1,1
"NewPatronView.getEmail()",0,1,1,1
"NewPatronView.getFull()",0,1,1,1
"NewPatronView.getNick()",0,1,1,1
"Party.Party(Vector)",0,1,1,1
"Party.getMembers()",0,1,1,1
"PinSetterView.PinSetterView(int)",0,1,1,1
"PinSetterView.hide()",0,1,1,1
"PinSetterView.main(String[])",0,1,1,1
"PinSetterView.receivePinsetterEvent(PinsetterEvent)",10,1,7,7
"PinSetterView.show()",0,1,1,1
"Pinsetter.Pinsetter()",0,1,1,1
"Pinsetter.ballThrown()",13,1,3,7
"Pinsetter.reset()",1,1,1,2
"Pinsetter.resetPins()",1,1,1,2
"Pinsetter.sendEvent(int)",1,1,2,2
"Pinsetter.subscribe(PinsetterObserver)",0,1,1,1
"PinsetterEvent.PinsetterEvent(boolean[],boolean,int,int)",1,1,1,2
"PinsetterEvent.getThrowNumber()",0,1,1,1
"PinsetterEvent.isFoulCommited()",0,1,1,1
"PinsetterEvent.pinKnockedDown(int)",0,1,1,1
"PinsetterEvent.pinsDownOnThisThrow()",0,1,1,1
"PinsetterEvent.totalPinsDown()",3,1,2,3
"PrintableText.PrintableText(String)",0,1,1,1
"PrintableText.print(Graphics,PageFormat,int)",4,2,3,4
"Queue.Queue()",0,1,1,1
"Queue.add(Object)",0,1,1,1
"Queue.asVector()",0,1,1,1
"Queue.hasMoreElements()",0,1,1,1
"Queue.next()",0,1,1,1
"Score.Score(String,String,String)",0,1,1,1
"Score.getDate()",0,1,1,1
"Score.getNickName()",0,1,1,1
"Score.getScore()",0,1,1,1
"Score.toString()",0,1,1,1
"ScoreHistoryFile.addScore(String,String,String)",0,1,1,1
"ScoreHistoryFile.getScores(String)",3,1,3,3
"ScoreReport.ScoreReport(Bowler,int[],int)",3,1,3,4
"ScoreReport.sendEmail(String)",1,1,2,2
"ScoreReport.sendPrintout()",3,1,3,3
"ScoreReport.sendln(BufferedReader,BufferedWriter,String)",1,1,2,2
"ScoreReport.sendln(BufferedWriter,String)",1,1,2,2
"drive.main(String[])",0,1,1,1
"null.windowClosing(WindowEvent)",0,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
"AddPartyView",2.83,9,17
"Alley",1.00,1,2
"Bowler",1.50,4,9
"BowlerFile",2.00,3,6
"ControlDesk",1.64,3,18
"ControlDeskEvent",1.00,1,2
"ControlDeskView",1.80,4,9
"EndGamePrompt",1.75,3,7
"EndGameReport",1.83,3,11
"Lane",4.24,30,72
"LaneEvent",1.00,1,11
"LaneStatusView",3.40,11,17
"LaneView",3.57,12,25
"NewPatronView",1.33,3,8
"Party",1.00,1,2
"PinSetterView",2.20,7,11
"Pinsetter",2.17,6,13
"PinsetterEvent",1.50,3,9
"PrintableText",2.50,4,5
"Queue",1.00,1,5
"Score",1.00,1,5
"ScoreHistoryFile",2.00,3,4
"ScoreReport",1.60,3,8
"drive",1.00,1,1

Package,v(G)avg,v(G)tot
"",2.45,314

Module,v(G)avg,v(G)tot
"code",2.45,314

Project,v(G)avg,v(G)tot
"project",2.45,314

